run_id,method_family,seed_value,corruption_fraction,confidence,n_targeted_forbidden_edges,mean_abs_w_targeted_forbidden_edges,fraction_targeted_forbidden_above_threshold,mean_abs_w_non_targeted_edges,edge_count_from_thresholded_adjacency
soft_frobenius__main_evaluation__seed503__cfg6de69eef7815,soft_frobenius,503,0.0,0.75,10,0.0008143744739702713,0.0,0.10790173046060839,13
soft_frobenius__main_evaluation__seed503__cfg75b8b5f52b2e,soft_frobenius,503,0.2,0.5,10,0.041438187060302466,0.1,0.10224093615852872,13
soft_frobenius__main_evaluation__seed503__cfg80bdddd5a080,soft_frobenius,503,0.4,0.5,10,0.02244952872071435,0.0,0.1079258910628799,13
soft_frobenius__main_evaluation__seed503__cfg83d5cee1b2c6,soft_frobenius,503,0.6,0.0,10,0.15709661716352247,0.2,0.08837360428123152,13
soft_frobenius__main_evaluation__seed503__cfga30621b76480,soft_frobenius,503,0.8,1.0,10,0.0877420362396236,0.2,0.09064597667808161,14
soft_frobenius__main_evaluation__seed503__cfga743538a5191,soft_frobenius,503,0.2,0.25,10,0.04892539902983811,0.1,0.10154935975679083,13
soft_frobenius__main_evaluation__seed503__cfgaf3b1a42bf33,soft_frobenius,503,0.0,0.25,10,0.0008188956320511881,0.0,0.10790387034823942,13
soft_frobenius__main_evaluation__seed503__cfgb68be039e63a,soft_frobenius,503,0.8,0.0,10,0.15535263559235443,0.2,0.08859160197762754,13
soft_frobenius__main_evaluation__seed503__cfgbe2f37a29faa,soft_frobenius,503,0.2,0.75,10,0.035945150756399216,0.1,0.1027492506943521,14
soft_frobenius__main_evaluation__seed503__cfgc428c0ac07c3,soft_frobenius,503,0.0,1.0,10,0.000798175146700514,0.0,0.10791718600577986,13
soft_frobenius__main_evaluation__seed503__cfgc711a05e8d94,soft_frobenius,503,0.4,1.0,10,0.009379514293293287,0.0,0.1135219800466929,13
soft_frobenius__main_evaluation__seed503__cfgde6405d7592c,soft_frobenius,503,0.6,0.25,10,0.13544698444679512,0.2,0.08826504092772731,13
soft_frobenius__main_evaluation__seed503__cfge2d147dfb914,soft_frobenius,503,0.8,0.75,10,0.09757178530447916,0.2,0.08996164676621884,14
soft_frobenius__main_evaluation__seed503__cfgf3a71bb2a755,soft_frobenius,503,0.8,0.5,10,0.11175685313762847,0.2,0.08951439115943706,13
soft_frobenius__main_evaluation__seed503__cfgf598c814b77e,soft_frobenius,503,0.0,0.5,10,0.0007940856419617462,0.0,0.10790570028414284,13
soft_frobenius__main_evaluation__seed503__cfgf83864fd29a6,soft_frobenius,503,0.6,1.0,10,0.09272682135037669,0.2,0.08926307140675006,13
soft_frobenius__main_evaluation__seed503__cfgffc8ad10e3af,soft_frobenius,503,0.4,0.25,10,0.03229510195885828,0.1,0.10594186088075193,14
soft_frobenius__main_evaluation__seed504__cfg08467e5a5022,soft_frobenius,504,0.4,0.5,10,0.05704320767845028,0.1,0.08404246090172193,9
soft_frobenius__main_evaluation__seed504__cfg0886c52aced0,soft_frobenius,504,0.2,0.25,10,0.00014750719370723686,0.0,0.09207378385552362,9
soft_frobenius__main_evaluation__seed504__cfg096837dd00f1,soft_frobenius,504,0.2,0.5,10,0.0001537249946799634,0.0,0.09206255604330368,9
soft_frobenius__main_evaluation__seed504__cfg1a4d9a1408a6,soft_frobenius,504,0.8,0.75,10,0.0924839312774072,0.2,0.07774884501686743,10
soft_frobenius__main_evaluation__seed504__cfg2b3f3910a9b8,soft_frobenius,504,0.4,0.25,10,0.06863517194757335,0.1,0.08290493525003338,9
soft_frobenius__main_evaluation__seed504__cfg48c73f864f08,soft_frobenius,504,0.0,0.75,10,0.0001294853462844887,0.0,0.09206475093789168,9
soft_frobenius__main_evaluation__seed504__cfg57ae5c55c5c9,soft_frobenius,504,0.0,0.5,10,0.00013624029239617944,0.0,0.09206511129461789,9
soft_frobenius__main_evaluation__seed504__cfg57d49afc74fd,soft_frobenius,504,0.4,0.75,10,0.04880232078996361,0.1,0.08486291697697486,9
soft_frobenius__main_evaluation__seed504__cfg691c2e7a8e54,soft_frobenius,504,0.6,0.25,10,0.06761538376487422,0.1,0.0827925009027626,9
soft_frobenius__main_evaluation__seed504__cfg8a9d3eb7ebeb,soft_frobenius,504,0.8,1.0,10,0.08279636953617596,0.1,0.07843284952610573,9
soft_frobenius__main_evaluation__seed504__cfg8b8b11011d39,soft_frobenius,504,0.6,1.0,10,0.05306104425936028,0.1,0.08280470021017244,9
soft_frobenius__main_evaluation__seed504__cfg9621ec55d438,soft_frobenius,504,0.6,0.5,10,0.061979452952409864,0.1,0.08279112517348113,9
soft_frobenius__main_evaluation__seed504__cfg9dec6f2f7f67,soft_frobenius,504,0.8,0.25,10,0.12272260988312518,0.2,0.07550552131503002,9
soft_frobenius__main_evaluation__seed504__cfga7b48c3c1b5c,soft_frobenius,504,0.2,1.0,10,0.0001586006955797003,0.0,0.09205795925760879,9
soft_frobenius__main_evaluation__seed504__cfgac5df98e662a,soft_frobenius,504,0.6,0.0,10,0.07440374897924822,0.1,0.08278239084447883,9
soft_frobenius__main_evaluation__seed504__cfgae8fc82a93ef,soft_frobenius,504,0.0,0.25,10,0.0001350681425735531,0.0,0.0920730565649375,9
soft_frobenius__main_evaluation__seed504__cfgbdd74d28b61f,soft_frobenius,504,0.8,0.5,10,0.1053834569541104,0.2,0.07676434599890285,9
soft_frobenius__main_evaluation__seed504__cfgc9f4520b1b97,soft_frobenius,504,0.4,0.0,10,0.08278143349247699,0.1,0.08173518028032524,9
soft_frobenius__main_evaluation__seed504__cfgd8dd3571872e,soft_frobenius,504,0.8,0.0,10,0.15129431647604688,0.2,0.07317106990737901,9
soft_frobenius__main_evaluation__seed504__cfgea20cb758fc9,soft_frobenius,504,0.0,1.0,10,0.00015842140845920147,0.0,0.09207032757248312,9
soft_frobenius__main_evaluation__seed504__cfgeac6abacff37,soft_frobenius,504,0.4,1.0,10,0.04253421561964897,0.1,0.08552668396816986,9
soft_frobenius__main_evaluation__seed504__cfgf17be1d53376,soft_frobenius,504,0.2,0.0,10,0.00015899377136731956,0.0,0.09206298524546394,9
soft_frobenius__main_evaluation__seed504__cfgf98694e0341f,soft_frobenius,504,0.2,0.75,10,0.00015043753543280547,0.0,0.09206366668878735,9
soft_frobenius__main_evaluation__seed504__cfgfa3ae6c68192,soft_frobenius,504,0.6,0.75,10,0.05719876456368972,0.1,0.08279875314092182,9
