run_id,method_family,seed_value,corruption_fraction,confidence,intervention_id,target_node,value_raw,mmd_value,mmd_status,bandwidth_used,bandwidth_sweep_0_5x,bandwidth_sweep_1_0x,bandwidth_sweep_2_0x,sampler_status_for_intervention,sampler_reason
hard_exclusion__main_evaluation__seed501__cfg48fb49c729c9,hard_exclusion,501,0.4,,do_X8_pos2,8,2.0,0.05051035114537733,available,148.20695607313772,0.0607091079114736,0.05051035114537733,0.03308000046222004,available,
hard_exclusion__main_evaluation__seed501__cfg48fb49c729c9,hard_exclusion,501,0.4,,do_X9_neg2,9,-2.0,0.08120680724461088,available,252.30831590258967,0.06881882544059559,0.08120680724461088,0.08428338448755879,available,
hard_exclusion__main_evaluation__seed501__cfg48fb49c729c9,hard_exclusion,501,0.4,,do_X9_pos2,9,2.0,0.1208077841526784,available,260.5553391880517,0.1007427379754206,0.1208077841526784,0.12547498924455902,available,
hard_exclusion__main_evaluation__seed501__cfg63637ce11a59,hard_exclusion,501,0.2,,do_X0_neg2,0,-2.0,0.18672778267344975,available,432.2127251329859,0.17316803613662823,0.18672778267344975,0.1831604119494611,available,
hard_exclusion__main_evaluation__seed501__cfg63637ce11a59,hard_exclusion,501,0.2,,do_X0_pos2,0,2.0,0.18916356140999357,available,427.6676059906051,0.1751755503246341,0.18916356140999357,0.18549540108003848,available,
hard_exclusion__main_evaluation__seed501__cfg63637ce11a59,hard_exclusion,501,0.2,,do_X1_neg2,1,-2.0,0.007448356097949527,available,384.49250843930037,0.010115278763727309,0.007448356097949527,0.004900190368299917,available,
hard_exclusion__main_evaluation__seed501__cfg63637ce11a59,hard_exclusion,501,0.2,,do_X1_pos2,1,2.0,0.006806200234683202,available,349.05867804524803,0.008575764695050836,0.006806200234683202,0.005247241861322194,available,
hard_exclusion__main_evaluation__seed501__cfg63637ce11a59,hard_exclusion,501,0.2,,do_X2_neg2,2,-2.0,0.13954180425751017,available,182.78569849175256,0.13721433717720652,0.13954180425751017,0.11607890773391089,available,
hard_exclusion__main_evaluation__seed501__cfg63637ce11a59,hard_exclusion,501,0.2,,do_X2_pos2,2,2.0,0.11801372437987173,available,178.401031301116,0.12127576731897988,0.11801372437987173,0.09384490560219683,available,
hard_exclusion__main_evaluation__seed501__cfg63637ce11a59,hard_exclusion,501,0.2,,do_X3_neg2,3,-2.0,0.028491400477129836,available,368.707827838958,0.03227441585417301,0.028491400477129836,0.023944775202597635,available,
