method_family,corruption_fraction,confidence,n,mean_targeted_abs_w_mean,std_targeted_abs_w_mean,median_targeted_abs_w_mean,mean_fraction_targeted_above_threshold,std_fraction_targeted_above_threshold,median_fraction_targeted_above_threshold,mean_non_targeted_abs_w_mean,std_non_targeted_abs_w_mean,median_non_targeted_abs_w_mean,mean_edge_count,std_edge_count,median_edge_count
soft_frobenius,0.2,0.0,7,0.062399477687808666,0.03906143786124426,0.059815355825306074,0.1,0.08164965809277261,0.1,0.09364527577532684,0.011264969872683524,0.09742423169135293,11.285714285714286,1.889822365046136,11.0
soft_frobenius,0.2,0.25,7,0.05251451564467645,0.03365271543628622,0.04892539902983811,0.08571428571428573,0.06900655593423542,0.1,0.09376212277746852,0.011423242956176374,0.09744784060741347,11.285714285714286,1.9760470401187076,12.0
soft_frobenius,0.2,0.5,7,0.04451313705489991,0.029517875641582456,0.041438187060302466,0.07142857142857142,0.048795003647426664,0.1,0.09411446454803742,0.011593763580108529,0.09896947645114457,11.142857142857142,2.193062655175134,12.0
soft_frobenius,0.2,0.75,7,0.038473240817133735,0.026435914721105618,0.035945150756399216,0.05714285714285715,0.05345224838248488,0.1,0.09443792757094878,0.011730389703855714,0.10035260343867833,11.142857142857142,2.4784787961282104,12.0
soft_frobenius,0.2,1.0,7,0.0337113053138621,0.02344853688458038,0.03175598543282161,0.042857142857142864,0.05345224838248488,0.0,0.09474432609550133,0.011668323764890439,0.10122976636937478,11.0,2.581988897471611,12.0
soft_frobenius,0.4,0.0,7,0.09722390894610704,0.04341568233817653,0.08278143349247699,0.14285714285714285,0.07867957924694431,0.1,0.08929222186803953,0.012808246820512396,0.09457813673728858,11.285714285714286,1.889822365046136,11.0
soft_frobenius,0.4,0.25,7,0.07743312114186049,0.04316872640559275,0.06863517194757335,0.1142857142857143,0.06900655593423542,0.1,0.09059203039495976,0.013956270590200772,0.09430685645324435,11.285714285714286,1.9760470401187076,12.0
soft_frobenius,0.4,0.5,7,0.06266936384755342,0.04142866781527975,0.05704320767845028,0.1,0.08164965809277261,0.1,0.0917974414451519,0.014450129607172246,0.09410918447034364,11.285714285714286,1.889822365046136,12.0
soft_frobenius,0.4,0.75,7,0.05274486516680741,0.03934592620188425,0.04880232078996361,0.05714285714285715,0.07867957924694433,0.0,0.0930667716207216,0.015402354267466417,0.09394205445772244,10.857142857142858,2.1157009420498154,12.0
soft_frobenius,0.4,1.0,7,0.04593755622948189,0.035646460928644416,0.04253421561964897,0.05714285714285715,0.07867957924694433,0.0,0.09356085515800751,0.01519177906818344,0.09382097398498095,10.714285714285714,2.3603873774083293,12.0
soft_frobenius,0.6,0.0,7,0.07864845518926333,0.05954938632711283,0.07440374897924822,0.1142857142857143,0.08997354108424374,0.1,0.09161415358764499,0.009413000876664497,0.08925254068553637,11.285714285714286,1.889822365046136,11.0
soft_frobenius,0.6,0.25,7,0.06485007811243172,0.04791973782692894,0.06761538376487422,0.08571428571428573,0.06900655593423542,0.1,0.09235512610123402,0.009349841450827257,0.09283544519270216,11.0,1.632993161855452,11.0
soft_frobenius,0.6,0.5,7,0.04905644355983028,0.03749803472160752,0.04903074612315515,0.07142857142857142,0.07559289460184546,0.1,0.0939195431244159,0.00988118898006359,0.09325013975310595,11.0,1.9148542155126762,11.0
soft_frobenius,0.6,0.75,7,0.04217734961265892,0.03304461634035736,0.03684082290537774,0.05714285714285715,0.07867957924694433,0.0,0.09440569899043047,0.010094062804842036,0.093154951011677,11.0,1.9148542155126762,11.0
soft_frobenius,0.6,1.0,7,0.037065247669670384,0.029782105466899692,0.029531172366420434,0.05714285714285715,0.07867957924694433,0.0,0.09473800656299713,0.010222761914759482,0.09306449523225968,11.0,1.9148542155126762,11.0
soft_frobenius,0.8,0.0,7,0.20274245733287402,0.10590382319972201,0.16296052953368875,0.27142857142857146,0.13801311186847084,0.2,0.07610240331969366,0.011239446983804921,0.076428856245026,11.285714285714286,1.889822365046136,11.0
soft_frobenius,0.8,0.25,7,0.16513231817624283,0.08339520327606093,0.1468100304041587,0.27142857142857146,0.13801311186847084,0.2,0.07802891955508125,0.009579795946725816,0.07718915988013722,11.571428571428571,1.9880595947760098,12.0
