run_id,configuration_hash_full,configuration_hash_prefix,record_path,method_family,seed_value,seed_population,confidence,corruption_fraction,corruption_index,lambda_prior,matched_l1_lambda1,dagma_lambda1,parent_heldout_run_hash_full,fit_status,metric_status,graph_status,sampler_status,sid,shd,mmd,edge_count_from_thresholded_adjacency,continuous_w_path,thresholded_adjacency_path,true_adjacency_path,n_targeted_forbidden_edges,mean_abs_w_targeted_forbidden_edges,fraction_targeted_forbidden_above_threshold,mean_abs_w_non_targeted_edges
hard_exclusion__main_evaluation__seed505__cfg0d6dbbb8f4ed,0d6dbbb8f4edf8b7ee939b144e97596abd62e273592cfd7090f4d85fca4ae8f9,0d6dbbb8f4ed,results/main_study/166c792c43bc/records/hard_exclusion__main_evaluation__seed505__cfg0d6dbbb8f4ed.json,hard_exclusion,505,main_evaluation,,0.0,0,,,0.1,88da382e8672650e44f44e675011dda1a81868c9075acb86faef6c6caf23fd17,success,computed,valid_dag,available,84.0,25.0,0.12765307718815505,12,results/main_study/166c792c43bc/artefacts/hard_exclusion__main_evaluation__seed505__cfg0d6dbbb8f4ed/continuous_w.npz,results/main_study/166c792c43bc/artefacts/hard_exclusion__main_evaluation__seed505__cfg0d6dbbb8f4ed/thresholded_adjacency.npz,results/main_study/166c792c43bc/artefacts/hard_exclusion__main_evaluation__seed505__cfg0d6dbbb8f4ed/true_adjacency.npz,10,0.0,0.0,0.1038178512657999
hard_exclusion__main_evaluation__seed505__cfg15083e6a8948,15083e6a89481ef47f02543b065f0abc28cba39adacf2aee97a3a6c296c141a7,15083e6a8948,results/main_study/166c792c43bc/records/hard_exclusion__main_evaluation__seed505__cfg15083e6a8948.json,hard_exclusion,505,main_evaluation,,0.2,1,,,0.1,88da382e8672650e44f44e675011dda1a81868c9075acb86faef6c6caf23fd17,success,computed,valid_dag,available,84.0,25.0,0.1276290242592899,12,results/main_study/166c792c43bc/artefacts/hard_exclusion__main_evaluation__seed505__cfg15083e6a8948/continuous_w.npz,results/main_study/166c792c43bc/artefacts/hard_exclusion__main_evaluation__seed505__cfg15083e6a8948/thresholded_adjacency.npz,results/main_study/166c792c43bc/artefacts/hard_exclusion__main_evaluation__seed505__cfg15083e6a8948/true_adjacency.npz,10,0.0,0.0,0.10685965305462482
hard_exclusion__main_evaluation__seed505__cfg54ccf1fb338e,54ccf1fb338e3bc5bc1380e1c7d77f52e4ef240bf512cfc778d65492667339ce,54ccf1fb338e,results/main_study/166c792c43bc/records/hard_exclusion__main_evaluation__seed505__cfg54ccf1fb338e.json,hard_exclusion,505,main_evaluation,,0.6,3,,,0.1,88da382e8672650e44f44e675011dda1a81868c9075acb86faef6c6caf23fd17,success,computed,valid_dag,available,80.0,24.0,0.12771721435702604,11,results/main_study/166c792c43bc/artefacts/hard_exclusion__main_evaluation__seed505__cfg54ccf1fb338e/continuous_w.npz,results/main_study/166c792c43bc/artefacts/hard_exclusion__main_evaluation__seed505__cfg54ccf1fb338e/thresholded_adjacency.npz,results/main_study/166c792c43bc/artefacts/hard_exclusion__main_evaluation__seed505__cfg54ccf1fb338e/true_adjacency.npz,10,0.0,0.0,0.11034420861356795
hard_exclusion__main_evaluation__seed505__cfg9837400fb55e,9837400fb55e047d1ae04453f02b83dac006dc8c6ef7aff0945cbd6ffad8c4ca,9837400fb55e,results/main_study/166c792c43bc/records/hard_exclusion__main_evaluation__seed505__cfg9837400fb55e.json,hard_exclusion,505,main_evaluation,,0.8,4,,,0.1,88da382e8672650e44f44e675011dda1a81868c9075acb86faef6c6caf23fd17,success,computed,valid_dag,available,81.0,28.0,0.13582169346596668,11,results/main_study/166c792c43bc/artefacts/hard_exclusion__main_evaluation__seed505__cfg9837400fb55e/continuous_w.npz,results/main_study/166c792c43bc/artefacts/hard_exclusion__main_evaluation__seed505__cfg9837400fb55e/thresholded_adjacency.npz,results/main_study/166c792c43bc/artefacts/hard_exclusion__main_evaluation__seed505__cfg9837400fb55e/true_adjacency.npz,10,0.0,0.0,0.10991910416629924
hard_exclusion__main_evaluation__seed505__cfgc14525c054c5,c14525c054c5a12aab9f0320a79b79c8a43c37933fbab6633f610fe26c0876d6,c14525c054c5,results/main_study/166c792c43bc/records/hard_exclusion__main_evaluation__seed505__cfgc14525c054c5.json,hard_exclusion,505,main_evaluation,,0.4,2,,,0.1,88da382e8672650e44f44e675011dda1a81868c9075acb86faef6c6caf23fd17,success,computed,valid_dag,available,75.0,26.0,0.0984212497655454,11,results/main_study/166c792c43bc/artefacts/hard_exclusion__main_evaluation__seed505__cfgc14525c054c5/continuous_w.npz,results/main_study/166c792c43bc/artefacts/hard_exclusion__main_evaluation__seed505__cfgc14525c054c5/thresholded_adjacency.npz,results/main_study/166c792c43bc/artefacts/hard_exclusion__main_evaluation__seed505__cfgc14525c054c5/true_adjacency.npz,10,0.0,0.0,0.10674957164169677
hard_exclusion__main_evaluation__seed506__cfg35907a719331,35907a71933196b1367a49fae1b1089d17eaf835d22dd0d4e0b8b86c8c4f223a,35907a719331,results/main_study/166c792c43bc/records/hard_exclusion__main_evaluation__seed506__cfg35907a719331.json,hard_exclusion,506,main_evaluation,,0.8,4,,,0.1,88da382e8672650e44f44e675011dda1a81868c9075acb86faef6c6caf23fd17,success,computed,valid_dag,available,70.0,24.0,0.10881796764287435,12,results/main_study/166c792c43bc/artefacts/hard_exclusion__main_evaluation__seed506__cfg35907a719331/continuous_w.npz,results/main_study/166c792c43bc/artefacts/hard_exclusion__main_evaluation__seed506__cfg35907a719331/thresholded_adjacency.npz,results/main_study/166c792c43bc/artefacts/hard_exclusion__main_evaluation__seed506__cfg35907a719331/true_adjacency.npz,10,0.0,0.0,0.09146413595399991
hard_exclusion__main_evaluation__seed506__cfg6d8f76185a5e,6d8f76185a5e6990f440c00170a38eec916793941588663443e4d12f0e9b17ad,6d8f76185a5e,results/main_study/166c792c43bc/records/hard_exclusion__main_evaluation__seed506__cfg6d8f76185a5e.json,hard_exclusion,506,main_evaluation,,0.6,3,,,0.1,88da382e8672650e44f44e675011dda1a81868c9075acb86faef6c6caf23fd17,success,computed,valid_dag,available,78.0,24.0,0.13782153886609103,12,results/main_study/166c792c43bc/artefacts/hard_exclusion__main_evaluation__seed506__cfg6d8f76185a5e/continuous_w.npz,results/main_study/166c792c43bc/artefacts/hard_exclusion__main_evaluation__seed506__cfg6d8f76185a5e/thresholded_adjacency.npz,results/main_study/166c792c43bc/artefacts/hard_exclusion__main_evaluation__seed506__cfg6d8f76185a5e/true_adjacency.npz,10,0.0,0.0,0.09279340047816267
hard_exclusion__main_evaluation__seed506__cfg7692405e891e,7692405e891e2cef95bf188f56a4c0408db77ece214162a4e2f2011599279167,7692405e891e,results/main_study/166c792c43bc/records/hard_exclusion__main_evaluation__seed506__cfg7692405e891e.json,hard_exclusion,506,main_evaluation,,0.4,2,,,0.1,88da382e8672650e44f44e675011dda1a81868c9075acb86faef6c6caf23fd17,success,computed,valid_dag,available,67.0,25.0,0.07933033588185785,11,results/main_study/166c792c43bc/artefacts/hard_exclusion__main_evaluation__seed506__cfg7692405e891e/continuous_w.npz,results/main_study/166c792c43bc/artefacts/hard_exclusion__main_evaluation__seed506__cfg7692405e891e/thresholded_adjacency.npz,results/main_study/166c792c43bc/artefacts/hard_exclusion__main_evaluation__seed506__cfg7692405e891e/true_adjacency.npz,10,0.0,0.0,0.09339189775539378
hard_exclusion__main_evaluation__seed506__cfg859050231404,8590502314041d6c8c3196824ae051be629a139019d3e89dfe2f1be25aba6692,859050231404,results/main_study/166c792c43bc/records/hard_exclusion__main_evaluation__seed506__cfg859050231404.json,hard_exclusion,506,main_evaluation,,0.0,0,,,0.1,88da382e8672650e44f44e675011dda1a81868c9075acb86faef6c6caf23fd17,success,computed,valid_dag,available,74.0,20.0,0.13793323612780944,8,results/main_study/166c792c43bc/artefacts/hard_exclusion__main_evaluation__seed506__cfg859050231404/continuous_w.npz,results/main_study/166c792c43bc/artefacts/hard_exclusion__main_evaluation__seed506__cfg859050231404/thresholded_adjacency.npz,results/main_study/166c792c43bc/artefacts/hard_exclusion__main_evaluation__seed506__cfg859050231404/true_adjacency.npz,10,0.0,0.0,0.08713697187899175
hard_exclusion__main_evaluation__seed506__cfg899729aa1d3d,899729aa1d3d7db14ccb64c26800c169c3fc2bc2476c44e0a7ea6b414bcacf65,899729aa1d3d,results/main_study/166c792c43bc/records/hard_exclusion__main_evaluation__seed506__cfg899729aa1d3d.json,hard_exclusion,506,main_evaluation,,0.2,1,,,0.1,88da382e8672650e44f44e675011dda1a81868c9075acb86faef6c6caf23fd17,success,computed,valid_dag,available,57.0,22.0,0.07744235433846289,12,results/main_study/166c792c43bc/artefacts/hard_exclusion__main_evaluation__seed506__cfg899729aa1d3d/continuous_w.npz,results/main_study/166c792c43bc/artefacts/hard_exclusion__main_evaluation__seed506__cfg899729aa1d3d/thresholded_adjacency.npz,results/main_study/166c792c43bc/artefacts/hard_exclusion__main_evaluation__seed506__cfg899729aa1d3d/true_adjacency.npz,10,0.0,0.0,0.0933754110363471
