method_family,corruption_fraction,confidence,intervention_id,target_node,value_raw,n,mean_mmd,std_mmd,median_mmd,min_mmd,max_mmd
hard_exclusion,0.2,,do_X4_neg2,4,-2.0,7,0.10588213186872548,0.09146569877947273,0.06439327222206126,0.03050733010825729,0.268295941000648
hard_exclusion,0.2,,do_X4_pos2,4,2.0,7,0.11160477915360735,0.09186841140449394,0.08063240791445775,0.034429770774010215,0.26663630265508825
hard_exclusion,0.2,,do_X5_neg2,5,-2.0,7,0.15822401102431918,0.19260711276721337,0.09589182069562213,0.01022652869038565,0.5767449844062417
hard_exclusion,0.2,,do_X5_pos2,5,2.0,7,0.16190801233252233,0.19700858000455537,0.11184007591911549,0.014519133712502186,0.5939943284548885
hard_exclusion,0.2,,do_X6_neg2,6,-2.0,7,0.24277118026014652,0.20829294794153866,0.22156198085649875,0.040958415723505726,0.5661783011096485
hard_exclusion,0.2,,do_X6_pos2,6,2.0,7,0.24950249909383,0.19502568030630255,0.23990457071013538,0.03892307184877425,0.5529757374372117
hard_exclusion,0.2,,do_X7_neg2,7,-2.0,7,0.062122465148448484,0.051739148244375345,0.07169026463792177,0.0029791176717977597,0.13953601440239505
hard_exclusion,0.2,,do_X7_pos2,7,2.0,7,0.0583875657681882,0.04690496472754129,0.06415622149602868,0.004826203389753592,0.13715073235048147
hard_exclusion,0.2,,do_X8_neg2,8,-2.0,7,0.11859286546870769,0.08264977135613855,0.1069428624858676,0.03807987347292219,0.2567286291407111
hard_exclusion,0.2,,do_X8_pos2,8,2.0,7,0.11818820456328225,0.08409522309224278,0.09867517086521382,0.032928975376146086,0.2403930304505566
hard_exclusion,0.2,,do_X9_neg2,9,-2.0,7,0.09270052839895024,0.08078017286929663,0.08254173454536079,0.005180306065761198,0.24248460797560528
hard_exclusion,0.2,,do_X9_pos2,9,2.0,7,0.10360961419608108,0.08844240774970842,0.09001613951983017,0.00307145082954835,0.26145885683332465
hard_exclusion,0.4,,do_X0_neg2,0,-2.0,7,0.07346529413545726,0.08936368010702042,0.011398269458059496,0.005878765447539291,0.20330096265235176
hard_exclusion,0.4,,do_X0_pos2,0,2.0,7,0.07199013030187243,0.08856316386156285,0.012413114708738404,0.002738516340265451,0.19929336562892802
hard_exclusion,0.4,,do_X1_neg2,1,-2.0,7,0.08919981260658492,0.08073677705508306,0.0755621546906769,0.010396803200834914,0.2461405108140885
hard_exclusion,0.4,,do_X1_pos2,1,2.0,7,0.0898523244799659,0.08929898181306554,0.07998795923868829,0.009926596964751844,0.2683815251273284
hard_exclusion,0.4,,do_X2_neg2,2,-2.0,7,0.06275805426989448,0.051302692750955524,0.06287586741564244,0.00618129746483731,0.1434567727040436
hard_exclusion,0.4,,do_X2_pos2,2,2.0,7,0.05996796189081958,0.04737944666746471,0.058852602945610843,0.0057462110332078264,0.13321747521984695
