method_family,corruption_fraction,confidence,n,sid_mean,sid_std,sid_median,shd_mean,shd_std,shd_median,mmd_mean,mmd_std,mmd_median,edge_count_mean,edge_count_std,edge_count_median
soft_frobenius,0.4,0.25,7,67.0,15.220600075774499,74.0,21.142857142857142,5.2417736002416655,23.0,0.12347783802073764,0.023682814222735996,0.12014026531099128,11.285714285714286,1.9760470401187076,12.0
soft_frobenius,0.4,0.5,7,67.0,15.534906930308058,74.0,21.428571428571427,5.159365040297849,23.0,0.12323916315490767,0.024088008407724768,0.11811616841880027,11.285714285714286,1.889822365046136,12.0
soft_frobenius,0.4,0.75,7,68.0,16.258331197676267,74.0,21.571428571428573,4.995235825502231,23.0,0.12414324607510539,0.022862398391775653,0.1180205367047932,10.857142857142858,2.1157009420498154,12.0
soft_frobenius,0.4,1.0,7,66.71428571428571,14.996825060817436,74.0,21.428571428571427,4.825527358301296,23.0,0.1241337351513054,0.0226016784353346,0.11797138724285636,10.714285714285714,2.3603873774083293,12.0
soft_frobenius,0.6,0.0,7,65.71428571428571,15.195550727260986,74.0,20.857142857142858,5.209880722517277,22.0,0.12082792031092161,0.024081786440972797,0.11558979414323323,11.285714285714286,1.889822365046136,11.0
soft_frobenius,0.6,0.25,7,67.42857142857143,13.73386499202055,74.0,21.142857142857142,5.1455019654248,22.0,0.12355486697763705,0.022251072330246435,0.11834443894236557,11.0,1.632993161855452,11.0
soft_frobenius,0.6,0.5,7,67.85714285714286,13.35949813713788,74.0,21.142857142857142,5.0142653642240695,22.0,0.12481704545571373,0.02129356455618514,0.11810650898753564,11.0,1.9148542155126762,11.0
soft_frobenius,0.6,0.75,7,68.0,13.253930234714028,74.0,21.142857142857142,5.0142653642240695,22.0,0.12533000888441514,0.020797657447642955,0.11802348048883018,11.0,1.9148542155126762,11.0
soft_frobenius,0.6,1.0,7,68.0,13.253930234714028,74.0,21.142857142857142,5.0142653642240695,22.0,0.12570753840080892,0.020465335309721038,0.11927816825361111,11.0,1.9148542155126762,11.0
soft_frobenius,0.8,0.0,7,65.71428571428571,15.195550727260986,74.0,20.857142857142858,5.209880722517277,22.0,0.12082792031092161,0.024081786440972797,0.11558979414323323,11.285714285714286,1.889822365046136,11.0
soft_frobenius,0.8,0.25,7,65.42857142857143,15.229982959687806,74.0,21.142857142857142,5.080307452263476,23.0,0.12574744744506675,0.022199457261380395,0.12231824843763153,11.571428571428571,1.9880595947760098,12.0
soft_frobenius,0.8,0.5,7,65.57142857142857,15.371587890836597,74.0,21.571428571428573,4.859943170351647,23.0,0.13113516164955444,0.02092700849246722,0.13386662313335512,11.428571428571429,1.9880595947760098,11.0
soft_frobenius,0.8,0.75,7,66.14285714285714,15.038046985657983,74.0,22.142857142857142,4.29839394148448,24.0,0.13235308533789797,0.020741638790474855,0.13112597197487438,11.428571428571429,1.9880595947760098,11.0
soft_frobenius,0.8,1.0,7,67.14285714285714,14.016996485559611,69.0,23.0,4.509249752822894,24.0,0.133741185813581,0.018398507658575945,0.13594795252006486,11.142857142857142,2.1157009420498154,12.0
