method_family,corruption_fraction,confidence,intervention_id,target_node,value_raw,n,mean_mmd,std_mmd,median_mmd,min_mmd,max_mmd
soft_frobenius,0.0,0.75,do_X7_neg2,7,-2.0,7,0.09188785928659313,0.08486352580111065,0.08055536481132819,0.005207567308767813,0.25419603691072923
soft_frobenius,0.0,0.75,do_X7_pos2,7,2.0,7,0.09420988407323534,0.10200791997453852,0.08035410224926381,0.004664545896111039,0.30711495141459016
soft_frobenius,0.0,0.75,do_X8_neg2,8,-2.0,7,0.048939296844834446,0.02985673444861283,0.05117542405672448,0.020889728542108965,0.10790266371982216
soft_frobenius,0.0,0.75,do_X8_pos2,8,2.0,7,0.0455717054038239,0.020643985117645352,0.046449555803958265,0.01974894052456705,0.08419896142679284
soft_frobenius,0.0,0.75,do_X9_neg2,9,-2.0,7,0.09424246190733528,0.08391852765331018,0.05478376409893776,0.0030175314464915837,0.24127031658040543
soft_frobenius,0.0,0.75,do_X9_pos2,9,2.0,7,0.09850394530955432,0.08916917871830748,0.04812055966202766,0.0011595932148389942,0.23251449531307938
soft_frobenius,0.0,1.0,do_X0_neg2,0,-2.0,7,0.05028636802895653,0.05707189714140642,0.023323898061080095,0.003267466383581774,0.1599202607328435
soft_frobenius,0.0,1.0,do_X0_pos2,0,2.0,7,0.05310225544012449,0.06522946944110777,0.0298502791279619,0.0038175110982676674,0.1868644160853053
soft_frobenius,0.0,1.0,do_X1_neg2,1,-2.0,7,0.06857649293517694,0.08480726375361068,0.03953329934341909,0.004537211025947896,0.24986030128810816
soft_frobenius,0.0,1.0,do_X1_pos2,1,2.0,7,0.06903575398709148,0.09144336237671952,0.036796415824561,0.002983474174314993,0.2656886581120219
soft_frobenius,0.0,1.0,do_X2_neg2,2,-2.0,7,0.051863256631587244,0.05233601174173193,0.025486560322588392,0.005585563147648798,0.1416916260902305
soft_frobenius,0.0,1.0,do_X2_pos2,2,2.0,7,0.05589120801010433,0.05821028185875403,0.02494731944177886,0.00784786788818459,0.15579905561510288
soft_frobenius,0.0,1.0,do_X3_neg2,3,-2.0,7,0.1369059215110578,0.1816918542510448,0.06460572998565667,0.027897460807319308,0.5437331080956991
soft_frobenius,0.0,1.0,do_X3_pos2,3,2.0,7,0.13188311711528303,0.170121456925958,0.06715591044120595,0.03668634403894361,0.5105672334791984
soft_frobenius,0.0,1.0,do_X4_neg2,4,-2.0,7,0.13266981824578056,0.09960904310444642,0.07486095172515983,0.03790355439017867,0.27421838445596397
soft_frobenius,0.0,1.0,do_X4_pos2,4,2.0,7,0.13137709797437871,0.09981581777987289,0.0819477680379288,0.0352681459438553,0.2800568304916562
soft_frobenius,0.0,1.0,do_X5_neg2,5,-2.0,7,0.2169130443088471,0.22985916184892202,0.10586632038238902,0.017336995970409053,0.5380493228968066
soft_frobenius,0.0,1.0,do_X5_pos2,5,2.0,7,0.22091318670973226,0.22687448526226178,0.09795428290762709,0.021199874098142835,0.5310310866940411
soft_frobenius,0.0,1.0,do_X6_neg2,6,-2.0,7,0.2459854188008314,0.23700449838079016,0.21412304876110527,0.03572482062796467,0.6071072040130377
soft_frobenius,0.0,1.0,do_X6_pos2,6,2.0,7,0.23959617392402288,0.21478598955562567,0.2362798212156364,0.03759254058030587,0.5677775218741461
soft_frobenius,0.0,1.0,do_X7_neg2,7,-2.0,7,0.08934597240002187,0.08359506739784586,0.07770598990574712,0.005081568913143486,0.2543477582221446
soft_frobenius,0.0,1.0,do_X7_pos2,7,2.0,7,0.09638263050776362,0.10250827253843997,0.0828429408940578,0.00457072317717272,0.30731307539634495
soft_frobenius,0.0,1.0,do_X8_neg2,8,-2.0,7,0.048596996681118505,0.03017483037126463,0.0511701647816038,0.02088744940757059,0.10789839667540035
soft_frobenius,0.0,1.0,do_X8_pos2,8,2.0,7,0.04458896814830434,0.020928747242409486,0.04318689624754307,0.01974993754686949,0.08419484752005418
soft_frobenius,0.0,1.0,do_X9_neg2,9,-2.0,7,0.09276423203413699,0.08230959123780947,0.05517019225824288,0.0030171312893436664,0.24127581438949808
soft_frobenius,0.0,1.0,do_X9_pos2,9,2.0,7,0.09702931181152717,0.08583806391945155,0.04903682165142753,0.0011514124326122976,0.23251178349791057
soft_frobenius,0.2,0.0,do_X0_neg2,0,-2.0,7,0.048408562470026666,0.05801385466082624,0.012529320070797156,0.003318423863303832,0.15965068868837462
soft_frobenius,0.2,0.0,do_X0_pos2,0,2.0,7,0.05042454721030596,0.06614509324305194,0.016341941442833186,0.0039278426041795544,0.1867473925016822
soft_frobenius,0.2,0.0,do_X1_neg2,1,-2.0,7,0.06803021065267878,0.08551596443841328,0.03587325121007673,0.0028014389399390605,0.25033715563941844
soft_frobenius,0.2,0.0,do_X1_pos2,1,2.0,7,0.06745734192818421,0.0923493948894888,0.02869026688517523,0.001610499581874758,0.26609508160771456
soft_frobenius,0.2,0.0,do_X2_neg2,2,-2.0,7,0.05420616094789689,0.05178607155234789,0.041198004275999456,0.005580409300822486,0.14138764977000084
soft_frobenius,0.2,0.0,do_X2_pos2,2,2.0,7,0.05699563316854271,0.05744821459807638,0.036435064317963284,0.008085350224083077,0.15588827407243538
soft_frobenius,0.2,0.0,do_X3_neg2,3,-2.0,7,0.13873317600557686,0.18101504814977065,0.07000544496967803,0.028029895868873833,0.5442072284806865
soft_frobenius,0.2,0.0,do_X3_pos2,3,2.0,7,0.1323869853782446,0.17051269469518063,0.064732349828378,0.03686156470799057,0.5120952088528328
soft_frobenius,0.2,0.0,do_X4_neg2,4,-2.0,7,0.11760228093131893,0.09243590751059141,0.07469205906027471,0.03785878858893926,0.2754650855863212
