method_family,corruption_fraction,confidence,n,mean_targeted_abs_w_mean,std_targeted_abs_w_mean,median_targeted_abs_w_mean,mean_fraction_targeted_above_threshold,std_fraction_targeted_above_threshold,median_fraction_targeted_above_threshold,mean_non_targeted_abs_w_mean,std_non_targeted_abs_w_mean,median_non_targeted_abs_w_mean,mean_edge_count,std_edge_count,median_edge_count
soft_frobenius,0.2,0.75,7,0.04970424287234491,0.02609658944043859,0.03940245223793762,0.07142857142857142,0.048795003647426664,0.1,0.12967028628154356,0.021944036128293425,0.12035378671337502,14.857142857142858,3.2877840272018797,13.0
soft_frobenius,0.2,1.0,7,0.042127511020732485,0.0245557548330874,0.03323983894059283,0.05714285714285715,0.05345224838248488,0.1,0.1302167927286369,0.022192320607234257,0.12033960181988138,15.0,3.1622776601683795,13.0
soft_frobenius,0.4,0.0,7,0.11957734114896358,0.06716995082794328,0.09363662328344133,0.14285714285714285,0.07867957924694431,0.1,0.12636657569356238,0.019710074362331062,0.11725544471147313,14.714285714285714,2.2886885410853175,14.0
soft_frobenius,0.4,0.25,7,0.08574466197082455,0.05245959200750328,0.07097157895424241,0.1,0.08164965809277261,0.1,0.12727672245879998,0.02210919286110133,0.11882320773455772,14.571428571428571,2.819996622760558,14.0
soft_frobenius,0.4,0.5,7,0.0678508729138293,0.046338275626707864,0.05767758776723726,0.1,0.08164965809277261,0.1,0.1287024945265988,0.022129087234155017,0.12058122469579566,15.0,2.70801280154532,14.0
soft_frobenius,0.4,0.75,7,0.056908992321013326,0.0413785652890489,0.047660090291750626,0.07142857142857142,0.07559289460184546,0.1,0.1297423603610486,0.021886139646728774,0.1223699842901778,14.857142857142858,2.9680841985233184,14.0
soft_frobenius,0.4,1.0,7,0.04937212131859376,0.03748585709769048,0.04056803628855718,0.07142857142857142,0.07559289460184546,0.1,0.13043108142116364,0.02171710201290722,0.12365250772779482,14.857142857142858,2.9680841985233184,14.0
soft_frobenius,0.6,0.0,7,0.09950267207819574,0.0751964850364128,0.07920314044708851,0.1285714285714286,0.07559289460184546,0.1,0.12887590932740836,0.016632836915874454,0.12820395747903657,14.714285714285714,2.2886885410853175,14.0
soft_frobenius,0.6,0.25,7,0.0752671732161649,0.05514077326530916,0.07192465114069525,0.1,0.05773502691896258,0.1,0.13012153450518724,0.01549999171442226,0.12889664189549033,14.428571428571429,2.29906813420444,14.0
soft_frobenius,0.6,0.5,7,0.05856009503271048,0.0408412244645342,0.06589390336291082,0.07142857142857142,0.07559289460184546,0.1,0.13179297840963172,0.01505043372678494,0.13116108571537116,14.571428571428571,2.760262237369417,13.0
soft_frobenius,0.6,0.75,7,0.046151907674509045,0.035436182131822834,0.038708433264199114,0.05714285714285715,0.07867957924694433,0.0,0.13314758695933002,0.014116744880703993,0.13260765556416568,14.571428571428571,2.760262237369417,13.0
soft_frobenius,0.6,1.0,7,0.038289732781907615,0.03065811515154365,0.03348629041581759,0.042857142857142864,0.07867957924694433,0.0,0.13508276041161812,0.014991885446473105,0.13359593358569105,14.714285714285714,3.039423504234847,13.0
soft_frobenius,0.8,0.0,7,0.26488204095116774,0.09320431569123958,0.2655526535177629,0.3,0.12909944487358058,0.3,0.10820348821828686,0.019231193563957943,0.1084287450318134,14.714285714285714,2.2886885410853175,14.0
soft_frobenius,0.8,0.25,7,0.18774040768796635,0.08030066516284262,0.19592828362468087,0.27142857142857146,0.13801311186847084,0.2,0.11085873746958294,0.01970883352018039,0.10906275752894212,14.714285714285714,2.4976179127511156,13.0
