method_family,corruption_fraction,confidence,n,sid_mean,sid_std,sid_median,shd_mean,shd_std,shd_median,mmd_mean,mmd_std,mmd_median,edge_count_mean,edge_count_std,edge_count_median
soft_frobenius,0.4,0.0,7,66.14285714285714,12.535663410560174,66.0,24.0,5.773502691896257,27.0,0.11255254596709595,0.027194398221777705,0.10282244353846574,14.714285714285714,2.2886885410853175,14.0
soft_frobenius,0.4,0.25,7,68.71428571428571,14.07970508349146,75.0,24.428571428571427,6.078847008469694,28.0,0.115525898835343,0.02620832163713869,0.11104261960125592,14.571428571428571,2.819996622760558,14.0
soft_frobenius,0.4,0.5,7,68.42857142857143,14.18751966644326,75.0,24.857142857142858,6.094494002200441,28.0,0.11481090700688426,0.026813602632664715,0.10365068943951435,15.0,2.70801280154532,14.0
soft_frobenius,0.4,0.75,7,69.57142857142857,14.886875011870275,75.0,25.285714285714285,5.765248931147314,28.0,0.11544583562222435,0.025713271555770512,0.10809459535909463,14.857142857142858,2.9680841985233184,14.0
soft_frobenius,0.4,1.0,7,69.57142857142857,14.886875011870275,75.0,25.285714285714285,5.765248931147314,28.0,0.11535753441560183,0.025789537720370077,0.10636335353720579,14.857142857142858,2.9680841985233184,14.0
soft_frobenius,0.6,0.0,7,66.14285714285714,12.535663410560174,66.0,24.0,5.773502691896257,27.0,0.11255254596709595,0.027194398221777705,0.10282244353846574,14.714285714285714,2.2886885410853175,14.0
soft_frobenius,0.6,0.25,7,67.85714285714286,11.538754575033527,72.0,24.285714285714285,5.6484300389366515,27.0,0.11574006141511495,0.024784377852030342,0.10858191952755343,14.428571428571429,2.29906813420444,14.0
soft_frobenius,0.6,0.5,7,70.28571428571429,12.161610169083776,75.0,24.428571428571427,5.623081683476386,27.0,0.11875459316335764,0.022342448257038634,0.11094271825090152,14.571428571428571,2.760262237369417,13.0
soft_frobenius,0.6,0.75,7,70.71428571428571,11.657819774930555,75.0,24.428571428571427,5.623081683476386,27.0,0.1198031266902962,0.021816148326876224,0.1109436688767649,14.571428571428571,2.760262237369417,13.0
soft_frobenius,0.6,1.0,7,70.42857142857143,11.472534489773723,75.0,24.857142857142858,6.283008075451637,27.0,0.12063766602966007,0.021406181262588916,0.11094525155428012,14.714285714285714,3.039423504234847,13.0
soft_frobenius,0.8,0.0,7,66.14285714285714,12.535663410560174,66.0,24.0,5.773502691896257,27.0,0.11255254596709595,0.027194398221777705,0.10282244353846574,14.714285714285714,2.2886885410853175,14.0
soft_frobenius,0.8,0.25,7,67.57142857142857,13.38976154700726,75.0,24.285714285714285,5.468524655221178,27.0,0.12065118199808512,0.02277672069696426,0.11582745863830388,14.714285714285714,2.4976179127511156,13.0
soft_frobenius,0.8,0.5,7,68.85714285714286,14.06447737420498,77.0,25.142857142857142,5.459809869356607,28.0,0.12453351868807697,0.022280086023992885,0.11661444146573696,15.285714285714286,2.4299715851758235,14.0
soft_frobenius,0.8,0.75,7,69.0,13.403979508588733,77.0,26.142857142857142,5.5506327395643655,28.0,0.1277294899947917,0.02078199336399492,0.12723288141612304,15.428571428571429,2.9358214555806383,14.0
soft_frobenius,0.8,1.0,7,70.57142857142857,13.28980991658826,77.0,27.571428571428573,6.294366339755546,28.0,0.13021033988523767,0.01976147301669506,0.13411693911191408,15.428571428571429,2.63673679998231,15.0
