run_id,method_family,seed_value,corruption_fraction,confidence,n_targeted_forbidden_edges,mean_abs_w_targeted_forbidden_edges,fraction_targeted_forbidden_above_threshold,mean_abs_w_non_targeted_edges,edge_count_from_thresholded_adjacency
soft_frobenius__main_evaluation__seed505__cfg3959aacadc89,soft_frobenius,505,0.8,0.0,10,0.26078378585991197,0.3,0.1266705133282176,16
soft_frobenius__main_evaluation__seed505__cfg3c28771ccde5,soft_frobenius,505,0.4,0.5,10,0.11201493286334836,0.1,0.14314217811162522,18
soft_frobenius__main_evaluation__seed505__cfg58271e8e7298,soft_frobenius,505,0.8,1.0,10,0.04808048951753849,0.0,0.15207292463157618,17
soft_frobenius__main_evaluation__seed505__cfg5a5563ed09cb,soft_frobenius,505,0.2,0.75,10,0.03121811759192502,0.0,0.15507407681623725,18
soft_frobenius__main_evaluation__seed505__cfg6d17e8412da5,soft_frobenius,505,0.0,0.0,10,0.11077338550717852,0.1,0.14542181337230928,16
soft_frobenius__main_evaluation__seed505__cfg756e471827de,soft_frobenius,505,0.0,0.25,10,0.08319397448178498,0.1,0.14679113411354122,17
soft_frobenius__main_evaluation__seed505__cfg80fe966c4ec2,soft_frobenius,505,0.2,1.0,10,0.026958098862993198,0.0,0.15553268503416023,18
soft_frobenius__main_evaluation__seed505__cfg974bbde2eb1d,soft_frobenius,505,0.0,0.5,10,0.061380998766091474,0.0,0.1512211094566161,16
soft_frobenius__main_evaluation__seed505__cfgb06868acf2b6,soft_frobenius,505,0.0,1.0,10,0.04189470734079999,0.0,0.15504485408329205,17
soft_frobenius__main_evaluation__seed505__cfgb88e4da62992,soft_frobenius,505,0.8,0.5,10,0.15034886129697608,0.2,0.13719464936419654,16
soft_frobenius__main_evaluation__seed505__cfgbea9670d3264,soft_frobenius,505,0.6,0.0,10,0.000112113600301642,0.0,0.1592544723606689,16
soft_frobenius__main_evaluation__seed505__cfgc2d1f5d0e5a4,soft_frobenius,505,0.2,0.25,10,0.04574446360285844,0.0,0.15342926011289956,18
soft_frobenius__main_evaluation__seed505__cfgc9a25b4d21be,soft_frobenius,505,0.4,0.75,10,0.10037190642480094,0.1,0.14379825356706594,18
soft_frobenius__main_evaluation__seed505__cfgce963c78a474,soft_frobenius,505,0.6,0.5,10,9.927076918378019e-05,0.0,0.1592507279565204,16
soft_frobenius__main_evaluation__seed505__cfgde718366ab9f,soft_frobenius,505,0.2,0.0,10,0.060172425738072445,0.0,0.15174693334344752,16
soft_frobenius__main_evaluation__seed505__cfgded4689c35c7,soft_frobenius,505,0.4,0.0,10,0.1501837741332381,0.1,0.1404955147940518,16
soft_frobenius__main_evaluation__seed505__cfge2698dc62889,soft_frobenius,505,0.8,0.25,10,0.19592828362468087,0.3,0.13258267894253822,17
soft_frobenius__main_evaluation__seed505__cfgec4843bcdb1d,soft_frobenius,505,0.2,0.5,10,0.03705812642979408,0.0,0.15441083483760978,18
soft_frobenius__main_evaluation__seed505__cfgfaaf5d224fde,soft_frobenius,505,0.0,0.75,10,0.04968306949678705,0.0,0.1535234733774043,17
soft_frobenius__main_evaluation__seed506__cfg0c00679470fd,soft_frobenius,506,0.0,0.0,10,0.03922707390210106,0.1,0.12712097806671804,14
soft_frobenius__main_evaluation__seed506__cfg2ee74b99c6e2,soft_frobenius,506,0.4,0.25,10,0.15055289745454353,0.2,0.11151821914970032,14
soft_frobenius__main_evaluation__seed506__cfg34fc416d7fcd,soft_frobenius,506,0.0,0.5,10,0.02869622658235574,0.0,0.12799882032881857,13
soft_frobenius__main_evaluation__seed506__cfg3e719311937b,soft_frobenius,506,0.4,0.5,10,0.1281851116934798,0.2,0.11427222183697702,14
soft_frobenius__main_evaluation__seed506__cfg461c544ecc2a,soft_frobenius,506,0.2,0.25,10,0.13275284858627556,0.2,0.11276165189443069,14
soft_frobenius__main_evaluation__seed506__cfg4df9d44d04f1,soft_frobenius,506,0.4,0.0,10,0.17098072883945614,0.2,0.11065177119954868,14
soft_frobenius__main_evaluation__seed506__cfg5de2db3e2b15,soft_frobenius,506,0.4,0.75,10,0.11116792213688294,0.2,0.11639866548606345,14
soft_frobenius__main_evaluation__seed506__cfg67fec4723d44,soft_frobenius,506,0.8,1.0,10,0.10929178886391162,0.2,0.1080854911501159,15
