run_id,configuration_hash_prefix,configuration_hash_full,method_family,final_status,was_overwritten,record_path,runtime_seconds,message
soft_frobenius__main_evaluation__seed502__cfg5adc896686e1,5adc896686e1,5adc896686e1719b291f06924ead2e37fbdcdd708f5eb9e7a2a57f1e3b9e5801,soft_frobenius,success_computed,False,results/main_study/166c792c43bc/records/soft_frobenius__main_evaluation__seed502__cfg5adc896686e1.json,6.562322899990249,
soft_frobenius__main_evaluation__seed502__cfg415dacad3f7d,415dacad3f7d,415dacad3f7de05495a6bc8df44a5cedc7d23ce38d24746ecaa9d95e0429f355,soft_frobenius,success_computed,False,results/main_study/166c792c43bc/records/soft_frobenius__main_evaluation__seed502__cfg415dacad3f7d.json,6.659688699990511,
soft_frobenius__main_evaluation__seed502__cfgcc01b760cb9e,cc01b760cb9e,cc01b760cb9e0514beb84f56743a2decfb0245eb6990605d7354833ddc9f6135,soft_frobenius,success_computed,False,results/main_study/166c792c43bc/records/soft_frobenius__main_evaluation__seed502__cfgcc01b760cb9e.json,6.770325799996499,
soft_frobenius__main_evaluation__seed502__cfg72002cbc684d,72002cbc684d,72002cbc684d9c1f93e6284e62d4502333504529a4458673cb69ce4f8102c0b5,soft_frobenius,success_computed,False,results/main_study/166c792c43bc/records/soft_frobenius__main_evaluation__seed502__cfg72002cbc684d.json,8.366743300008238,
soft_frobenius__main_evaluation__seed502__cfgd65df878f95e,d65df878f95e,d65df878f95ea3162e64aa8bee4a3e6ce606fa5569b3ca960094af1ce7fdd1b0,soft_frobenius,success_computed,False,results/main_study/166c792c43bc/records/soft_frobenius__main_evaluation__seed502__cfgd65df878f95e.json,12.845670599999721,
soft_frobenius__main_evaluation__seed502__cfg4064872d7057,4064872d7057,4064872d705742ea6d90b12f08f53b4761d918d9125db0af58df302c83883e93,soft_frobenius,success_computed,False,results/main_study/166c792c43bc/records/soft_frobenius__main_evaluation__seed502__cfg4064872d7057.json,10.194518200005405,
soft_frobenius__main_evaluation__seed502__cfgd29312e48e1c,d29312e48e1c,d29312e48e1c137b5212b2c80e410baf0651911f04bb10438ee127b72d75cf3d,soft_frobenius,success_computed,False,results/main_study/166c792c43bc/records/soft_frobenius__main_evaluation__seed502__cfgd29312e48e1c.json,9.529846299992641,
soft_frobenius__main_evaluation__seed502__cfgcc39d6658ade,cc39d6658ade,cc39d6658aded8a3148d77db4621dbc9008e5ff3a8af44360362864a67f01a9b,soft_frobenius,success_computed,False,results/main_study/166c792c43bc/records/soft_frobenius__main_evaluation__seed502__cfgcc39d6658ade.json,8.446171900010086,
soft_frobenius__main_evaluation__seed502__cfg76121c83079c,76121c83079c,76121c83079cf60f0e9dc5436a9198793ee53557f462db6478864b1e0e7d4b22,soft_frobenius,success_computed,False,results/main_study/166c792c43bc/records/soft_frobenius__main_evaluation__seed502__cfg76121c83079c.json,9.092203600011999,
soft_frobenius__main_evaluation__seed502__cfg8165bda114be,8165bda114be,8165bda114be1e8a46b8d3066bb4872477bc509687ce47bdbadace4b184269c1,soft_frobenius,success_computed,False,results/main_study/166c792c43bc/records/soft_frobenius__main_evaluation__seed502__cfg8165bda114be.json,9.518963399998029,
soft_frobenius__main_evaluation__seed502__cfg97b40fa27112,97b40fa27112,97b40fa271123c72e828d786620930510b6a9dd4feaf5b41995b5846007d22a7,soft_frobenius,success_computed,False,results/main_study/166c792c43bc/records/soft_frobenius__main_evaluation__seed502__cfg97b40fa27112.json,10.976546499994583,
soft_frobenius__main_evaluation__seed502__cfg15d77d550526,15d77d550526,15d77d550526577c5916aad6d680888924df1c5d8bc1f40b527f79726e88ac3d,soft_frobenius,success_computed,False,results/main_study/166c792c43bc/records/soft_frobenius__main_evaluation__seed502__cfg15d77d550526.json,10.234084600000642,
soft_frobenius__main_evaluation__seed502__cfga8d22f770477,a8d22f770477,a8d22f770477b820580eb0073ae0f0ec61d05b41390ada9bb299450a36a7e587,soft_frobenius,success_computed,False,results/main_study/166c792c43bc/records/soft_frobenius__main_evaluation__seed502__cfga8d22f770477.json,9.544618100000662,
soft_frobenius__main_evaluation__seed502__cfg0762a12d0c67,0762a12d0c67,0762a12d0c67ecddc54a1bc004c54bb8510fdbe9225614cccdc94405ecd37866,soft_frobenius,success_computed,False,results/main_study/166c792c43bc/records/soft_frobenius__main_evaluation__seed502__cfg0762a12d0c67.json,9.945200899994234,
soft_frobenius__main_evaluation__seed502__cfg8719a714a94a,8719a714a94a,8719a714a94a142e11fe9800d802363630721a94d05ad68091dcc6f43d304381,soft_frobenius,success_computed,False,results/main_study/166c792c43bc/records/soft_frobenius__main_evaluation__seed502__cfg8719a714a94a.json,9.299776400002884,
soft_frobenius__main_evaluation__seed502__cfg20d39d1a0a55,20d39d1a0a55,20d39d1a0a551ec44ccd3f3cf27ed0b77b05df73b159014b9f75dd7b989ca22b,soft_frobenius,success_computed,False,results/main_study/166c792c43bc/records/soft_frobenius__main_evaluation__seed502__cfg20d39d1a0a55.json,9.676170100006857,
soft_frobenius__main_evaluation__seed502__cfg31087d35cda4,31087d35cda4,31087d35cda4faa388ef965ee660f1306588b59e4599cb1f5870e9c3b53aa643,soft_frobenius,success_computed,False,results/main_study/166c792c43bc/records/soft_frobenius__main_evaluation__seed502__cfg31087d35cda4.json,10.40194419999898,
soft_frobenius__main_evaluation__seed502__cfgad6588f50674,ad6588f50674,ad6588f50674d185fe7b48d2aca03abe43b1940afe6fdad31c55673b8b970d4e,soft_frobenius,success_computed,False,results/main_study/166c792c43bc/records/soft_frobenius__main_evaluation__seed502__cfgad6588f50674.json,10.387769299995853,
soft_frobenius__main_evaluation__seed502__cfgc064e955d104,c064e955d104,c064e955d1041c813dd86527657a077d8c79c7eb67df41e9ad6957feb98cee2d,soft_frobenius,success_computed,False,results/main_study/166c792c43bc/records/soft_frobenius__main_evaluation__seed502__cfgc064e955d104.json,10.236473800003296,
soft_frobenius__main_evaluation__seed502__cfgbcd7f4dba5f4,bcd7f4dba5f4,bcd7f4dba5f4927a1056dee2994e50cfdce62a79fe045cc13d755aa7ae46114a,soft_frobenius,success_computed,False,results/main_study/166c792c43bc/records/soft_frobenius__main_evaluation__seed502__cfgbcd7f4dba5f4.json,10.111570099994424,
soft_frobenius__main_evaluation__seed502__cfg9cf863aedf60,9cf863aedf60,9cf863aedf60aa2cca840f174d1ba6bda5f9b3fb8990e532f914a3c3e3b7cad4,soft_frobenius,success_computed,False,results/main_study/166c792c43bc/records/soft_frobenius__main_evaluation__seed502__cfg9cf863aedf60.json,8.82726079999702,
